edad,sexo,altura,bmi,peso,h_sueno,c_sueno,n_estres,h_movil,t_pantalla,pasos,i_ejercicio,m_ejercicio,alim_enteros,alim_procesados,g_proteina,g_fibra,h_social,h_sol,l_agua,n_alcohol,t_meditacion,bienestar_fisico,bienestar_mental
36.0,1,1.78,19.5,62.13,7.7,6.4,4.4,0.5,1.6,6240.0,2.8,35.0,4.5,3.7,82.2,21.0,7.2,1.6,2.4,2.5,20.0,66.19,64.75
63.0,0,1.75,25.29,77.4,7.5,7.6,1.2,3.8,5.0,5175.0,2.7,24.0,7.3,4.3,111.9,27.4,5.6,3.1,1.3,0.9,31.0,75.32,94.93
52.0,0,1.75,29.05,89.44,7.8,7.8,1.4,2.3,3.1,3520.0,1.0,0.0,3.9,5.8,87.9,23.0,4.3,1.7,1.1,0.5,42.0,63.78,84.34
46.0,0,1.59,21.1,53.39,5.6,3.9,2.3,4.1,6.5,4175.0,2.2,10.0,8.7,0.6,79.6,23.9,4.9,0.1,2.0,4.9,25.0,62.51,61.98
25.0,0,1.8,19.98,64.52,8.1,7.0,4.0,1.6,3.7,7190.0,3.7,58.0,7.5,3.2,72.2,22.4,5.0,1.9,1.0,1.1,29.0,84.65,82.59
25.0,0,1.72,22.87,67.73,6.2,5.2,5.8,4.1,6.0,8128.0,1.2,58.0,6.0,5.4,103.1,28.8,3.4,1.7,1.2,2.1,12.0,67.61,46.76
21.0,1,1.67,17.58,49.06,6.0,5.3,7.2,3.4,6.2,5443.0,2.9,24.0,6.0,5.1,117.2,25.7,6.2,0.9,2.5,0.1,26.0,73.87,49.75
59.0,1,1.71,26.93,78.87,5.3,5.8,7.8,6.3,9.5,6516.0,2.7,54.0,4.9,5.6,111.3,28.2,5.9,2.1,1.9,1.1,5.0,53.23,17.36
46.0,1,1.56,24.37,59.14,6.2,4.5,7.1,6.1,6.6,8700.0,3.6,59.0,6.5,4.5,102.1,24.9,8.1,0.0,2.8,3.4,8.0,76.61,44.72
51.0,1,1.73,22.34,67.07,6.4,6.3,5.6,5.2,6.6,5734.0,1.6,38.0,8.2,0.1,60.5,12.2,7.5,2.5,1.3,1.0,6.0,89.32,59.91
19.0,1,1.62,24.16,63.22,6.7,6.1,4.2,3.5,6.3,4596.0,3.0,15.0,4.6,4.9,83.0,25.3,3.6,0.6,1.9,1.8,9.0,63.07,51.47
64.0,1,1.59,22.95,58.16,6.2,5.7,6.2,7.0,8.5,7409.0,3.3,46.0,2.9,6.2,128.9,25.5,6.6,0.5,2.2,0.5,5.0,69.85,44.76
57.0,1,1.58,28.06,69.89,7.3,7.5,3.7,1.7,2.9,7342.0,1.1,52.0,7.4,3.8,112.4,26.9,3.1,1.4,1.3,1.1,49.0,81.14,74.37
28.0,0,1.79,20.86,66.77,6.2,3.6,6.0,1.9,4.9,6962.0,1.9,53.0,6.6,3.0,59.2,20.3,6.4,1.9,2.6,5.3,6.0,68.13,46.29
